asin,collection,size,color,sales,prior_sales,sessions,prior_sessions,units,prior_units,conversion,prior_conversion,conversion_change_pp,sales_delta,sales_wow
B014MVUCCI,1800 Pillowcase Set 2 pc,Set of 2 Standard Size,Lavender,197.67,71.88,25,30,11,4,0.44,0.13333333333333333,0.30666666666666664,125.78999999999999,1.75
B01DN0BACU,1800 Pillowcase Set 2 pc,Set of 2 Standard Size,Spa Mint,197.67,143.76,60,73,11,8,0.18333333333333332,0.1095890410958904,0.07374429223744292,53.91,0.375
B0822TXPDR,1800 Pillow Shams 2 piece,King,Blue Hydrangea,194.60999999999999,89.82000000000001,60,61,13,6,0.21666666666666667,0.09836065573770492,0.11830601092896176,104.78999999999998,1.1666666666666663
B0DGQRDFJP,1800 Bed Sheets,Full,Oxford Stripe Blue Nova,189.85,189.85,101,93,5,5,0.04950495049504951,0.053763440860215055,-0.004258490365165547,0.0,0.0
B0BTZ92PKT,1800 Bed Sheet Set 6 PIECE,Twin XL,Blush Pink,189.85,265.78999999999996,50,108,5,7,0.1,0.06481481481481481,0.035185185185185194,-75.93999999999997,-0.28571428571428564
B01ES3NVCI,1800 Fitted Sheet,Full,White,189.7,208.67,46,40,10,11,0.21739130434782608,0.275,-0.05760869565217394,-18.97,-0.09090909090909091
B0822ZSBN1,1800 Bedskirt,Queen,Light Gray,188.73,104.85,182,116,10,5,0.054945054945054944,0.04310344827586207,0.011841606669192872,83.88,0.8
B0CNRYT4DL,1800 Bed Sheets,Split King,Terracotta,187.88,93.0,28,19,4,2,0.14285714285714285,0.10526315789473684,0.03759398496240601,94.88,1.020215053763441
B0DGQRP22Y,1800 Bed Sheets,Split King,Mineral Gray,187.88,46.97,71,47,4,1,0.056338028169014086,0.02127659574468085,0.03506143242433324,140.91,3.0
B0BMW97GJF,1800 Bed Sheet Set With DEEP Fitted Sheet,Full,Golden Ivory,183.88,183.88,98,88,4,4,0.04081632653061224,0.045454545454545456,-0.004638218923933214,0.0,0.0
B0BMW7ZJ2R,1800 Bed Sheet Set With DEEP Fitted Sheet,Full,Sage,183.88,274.9,66,84,4,7,0.06060606060606061,0.08333333333333333,-0.02272727272727272,-91.01999999999998,-0.3311022189887231
B0BMW99MVD,1800 Bed Sheet Set With DEEP Fitted Sheet,Twin,Golden Ivory,179.88,89.94,37,51,4,2,0.10810810810810811,0.0392156862745098,0.06889242183359831,89.94,1.0
B078SYGWWF,1800 Duvet Cover Set,King,Hotel White with Gray Embroidery,179.88,0.0,61,53,4,0,0.06557377049180328,0.0,0.06557377049180328,179.88,
B0CNRX2YJB,1800 Bed Sheets,California King,Terracotta,179.88,89.94,59,34,4,2,0.06779661016949153,0.058823529411764705,0.00897308075772682,89.94,1.0
B01DN0B3PY,1800 Bed Sheets,California King,Spa Mint,179.88,224.85,104,86,4,5,0.038461538461538464,0.05813953488372093,-0.019677996422182466,-44.97,-0.2
B0BMW8G18Z,1800 Bed Sheet Set With DEEP Fitted Sheet,Twin,Blush Pink,179.88,314.78999999999996,67,134,4,7,0.05970149253731343,0.05223880597014925,0.00746268656716418,-134.90999999999997,-0.4285714285714285
B01DN0B4OO,1800 Bed Sheets,California King,Yellow,179.88,0.0,54,45,4,0,0.07407407407407407,0.0,0.07407407407407407,179.88,
B01CYLCUAK,1800 Bed Sheets,California King,Paisley Gray,179.88,134.91,73,63,4,3,0.0547945205479452,0.047619047619047616,0.007175472928897586,44.97,0.3333333333333333
B07BKMZ5YD,1800 Bed Sheets,California King,Spa Blue,179.88,44.97,87,59,4,1,0.04597701149425287,0.01694915254237288,0.02902785895187999,134.91,3.0
B0BMW8H5KQ,1800 Bed Sheet Set With DEEP Fitted Sheet,Twin XL,Sage,179.88,89.94,43,55,4,2,0.09302325581395349,0.03636363636363636,0.056659619450317125,89.94,1.0
B0822VTP9F,1800 Bed Sheet Set With DEEP Fitted Sheet,Twin,Beige,179.88,0.0,21,18,4,0,0.19047619047619047,0.0,0.19047619047619047,179.88,
B08BZVPSCB,1800 Bed Sheet Set With DEEP Fitted Sheet,Twin XL,Tan,179.88,134.91,37,31,4,3,0.10810810810810811,0.0967741935483871,0.01133391455972102,44.97,0.3333333333333333
