asin,collection,size,color,sales,prior_sales,sessions,prior_sessions,units,prior_units,conversion,prior_conversion,conversion_change_pp
B0CNRYGRBQ,1800 Bed Sheets,Queen,Poppy Orange,439.66999999999996,439.66999999999996,267,245,11,11,0.04119850187265917,0.044897959183673466,-0.003699457311014294
B0BTZ7DKC5,1800 Bed Sheet Set 6 PIECE,Queen,Beige,438.82,307.78999999999996,88,80,10,7,0.11363636363636363,0.0875,0.026136363636363638
B016P42FZW,1800 Bed Sheets,Twin XL,Navy Blue,419.64,349.0,89,67,13,10,0.14606741573033707,0.14925373134328357,-0.0031863156129464942
B016P42YS0,1800 Bed Sheets,Twin XL,Black,419.64,209.82,49,43,12,6,0.24489795918367346,0.13953488372093023,0.10536307546274323
B013FJJJC2,1800 Bed Sheets,Full,Royal Blue,417.66999999999996,493.61,124,106,11,13,0.08870967741935484,0.12264150943396226,-0.03393183201460742
B07BKQ9YK9,1800 Bed Sheets,Full,Spa Blue,417.66999999999996,379.7,232,238,11,10,0.04741379310344827,0.04201680672268908,0.0053969863807591945
B0BMW6NBFV,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Laced Sky Blue,415.76,675.6100000000001,261,308,8,13,0.03065134099616858,0.04220779220779221,-0.011556451211623627
B00ZSGW4FK,1800 Bed Sheets,California King,Striped White,404.73,89.94,152,91,9,2,0.05921052631578947,0.02197802197802198,0.037232504337767494
B0CYCRBWJS,1800 Bed Sheet Set 6 PC With DEEP Fitted Sheet,Queen,White,399.76,349.78999999999996,88,65,8,7,0.09090909090909091,0.1076923076923077,-0.016783216783216787
B00NLNDU00,1800 Bed Sheets,Queen,Brick Red,399.7,478.04,364,326,10,12,0.027472527472527472,0.03680981595092025,-0.009337288478392776
B01FWBWTGO,1800 Ultrasonic Coverlet,King,Spa Blue,384.7900000000001,494.73,438,761,7,9,0.01598173515981735,0.011826544021024968,0.004155191138792383
B0DGQQMQNK,1800 Bed Sheets,Twin XL,Mineral Gray,384.67,314.73,206,170,11,9,0.05339805825242718,0.052941176470588235,0.000456881781838947
B01DN0A7MY,1800 Bed Sheets,Twin XL,Spa Mint,384.66999999999996,139.88,196,173,11,4,0.05612244897959184,0.023121387283236993,0.03300106169635485
B0CNRYNKYC,1800 Bed Sheets,Twin XL,Blue Nova,384.66999999999996,454.61,134,112,11,13,0.08208955223880597,0.11607142857142858,-0.033981876332622604
B01DN0ABHU,1800 Bed Sheets,Full,Emerald Green,379.69999999999993,530.82,181,192,10,14,0.055248618784530384,0.07291666666666667,-0.017668047882136287
B0822YLBZP,1800 Bedskirt,Twin XL,White,379.42999999999995,519.22,255,189,19,26,0.07450980392156863,0.13756613756613756,-0.06305633364456893
B00RKHWL1M,1800 Pillowcase Set 2 pc,Set of 2 Standard Size,Beige,377.37,268.83,50,56,21,15,0.42,0.26785714285714285,0.15214285714285714
B01DN0B5JS,1800 Pillowcase Set 2 pc,Set of 2 Standard Size,Blue Hydrangea,377.36999999999995,380.60999999999996,84,85,21,22,0.25,0.25882352941176473,-0.00882352941176473
B0BMWCRXGG,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Blush Pink,363.78999999999996,623.6400000000001,204,209,7,12,0.03431372549019608,0.05741626794258373,-0.023102542452387652
B01ETTFKIE,1800 Flat Sheet,King,White,359.46,1437.84,105,101,18,72,0.17142857142857143,0.7128712871287128,-0.5414427157001414
B0822V7SL6,1800 Pillow Shams 2 piece,Standard,Blue Hydrangea,359.28000000000003,314.37,161,191,24,21,0.14906832298136646,0.1099476439790576,0.03912067900230887
B0822VN7VK,1800 Bed Sheet Set With DEEP Fitted Sheet,Split King,White,349.78999999999996,249.85,140,175,7,5,0.05,0.02857142857142857,0.021428571428571432
B00O35D05A,1800 Bed Sheets,Twin,Navy Blue,349.70000000000005,279.76,38,37,10,8,0.2631578947368421,0.21621621621621623,0.04694167852062586
B00O35CYQG,1800 Bed Sheets,Twin,Gray,349.70000000000005,279.76,100,94,10,8,0.1,0.0851063829787234,0.014893617021276603
B07BKPDKCN,1800 Bed Sheets,Twin XL,Spa Blue,349.7,279.76,142,107,10,8,0.07042253521126761,0.07476635514018691,-0.004343819928919301
B08V8T4J6N,1800 Bed Sheets,RV / Short Queen,Beige,348.65,279.76,64,87,10,8,0.15625,0.09195402298850575,0.06429597701149425
B0CLYC7DLL,1800 Bed Sheets,King,Burgundy,343.76,342.9,77,80,8,9,0.1038961038961039,0.1125,-0.0086038961038961
B0CNRYQDF7,1800 Bed Sheets,Full,Hazy Lilac,341.73,265.78999999999996,162,185,9,7,0.05555555555555555,0.03783783783783784,0.017717717717717713
B00O35DD2U,1800 Bed Sheets,Full,Navy Blue,341.72999999999996,341.72999999999996,106,115,9,9,0.08490566037735849,0.0782608695652174,0.006644790812141088
B08TRRPSQN,1800 Pillowcase Set 2 pc,Set of 2 Standard Size,Golden Ivory,341.42999999999995,394.97999999999996,80,68,19,22,0.2375,0.3235294117647059,-0.08602941176470591
B014MVUDWM,1800 Pillowcase Set 2 pc,Set of 2 Standard Size,Light Gray,341.42999999999995,575.04,85,98,19,33,0.2235294117647059,0.336734693877551,-0.11320528211284511
B00WAIGZYK,1800 Bed Sheets,Full,Lavender,340.97,455.6400000000001,227,227,9,12,0.039647577092511016,0.05286343612334802,-0.013215859030837003
B00ZSGVP8W,1800 Bed Sheets,Full,Striped White,340.96999999999997,454.88,190,194,9,12,0.04736842105263158,0.061855670103092786,-0.014487249050461205
B07R924M7Y,1800 Bed Sheets,Full,Laced Sky Blue,339.37,455.64,371,334,9,12,0.02425876010781671,0.03592814371257485,-0.011669383604758138
B07BKMKJKQ,1800 Bed Sheets,Split King,Spa Blue,328.78999999999996,281.82,62,71,7,6,0.11290322580645161,0.08450704225352113,0.028396183552930485
B0BTZ5HKPM,1800 Bed Sheet Set 6 PIECE,King,Beige,317.82000000000005,264.85,61,65,6,5,0.09836065573770492,0.07692307692307693,0.02143757881462799
