keyword,tracked_asins,tracked_asin_count,current_position,prior_position,rank_movement,search_query_volume,total_purchases,brand_purchases,est_total_keyword_sales,est_brand_keyword_sales,prior_est_total_keyword_sales,total_sales_wow,total_clicks,brand_clicks,brand_ctr,brand_purchase_per_click
ivory sheet set full hotel collection,,0,,,,2,1,1,37.97,37.97,,,2,1,0.020833333333333332,1.0
bed sheets plum full size,,0,,,,2,1,1,37.97,37.97,,,2,1,0.008620689655172414,1.0
gray striped full sheets,,0,,,,2,1,1,37.97,37.97,,,1,1,0.025,1.0
blush pink sheets fullsize,,0,,,,2,1,1,37.97,37.97,,,2,1,0.020833333333333332,1.0
full sheet set hray pattern,,0,,,,2,1,1,37.97,37.97,,,1,1,0.022727272727272728,1.0
sheets full size soft cool pattern,,0,,,,2,1,1,37.97,37.97,,,1,1,0.021739130434782608,1.0
full size bed sheets light gray color,,0,,,,2,1,1,37.97,37.97,,,1,1,0.025,1.0
full size gray & white striped sheet set,,0,,,,2,1,1,37.97,37.97,,,2,1,0.020833333333333332,1.0
mellanni pillow sham cases,,0,,,,1,1,1,37.97,37.97,,,1,1,0.016129032258064516,1.0
grey striped full sheets,,0,,,,1,1,1,37.97,37.97,,,1,1,0.017241379310344827,1.0
full sized very light pink sheets,,0,,,,1,1,1,37.97,37.97,,,1,1,0.05,1.0
twin xl sheets light turquoise,,0,,,,1,1,1,37.97,37.97,,,1,1,0.016666666666666666,1.0
patterned double sheet set,,0,,,,1,1,1,37.97,37.97,,,1,1,0.043478260869565216,1.0
full plus 100% cotton sheets,,0,,,,1,1,1,37.97,37.97,,,1,1,0.05,1.0
light brown queen sheet set,,0,,,,62,2,0,37.96,,,,31,1,0.0005524861878453039,0.0
juego de sabanas,,0,,,,532,3,0,37.14,,,,170,2,0.0001310272536687631,0.0
soft sheets white queen,,0,,,,1,1,1,36.97,36.97,,,1,1,0.047619047619047616,1.0
bright white (queen/standard),,0,,,,4,1,1,36.97,36.97,,,2,1,0.012345679012345678,1.0
queen sheets high quality,,0,,,,35,1,1,36.97,36.97,,,15,2,0.0021390374331550803,0.5
mellanni iconic collection sheet set,,0,,,,84,1,1,36.97,36.97,36.97,0.0,45,42,0.01696969696969697,0.023809523809523808
melania sheets,,0,,,,24,1,1,36.97,36.97,36.97,0.0,14,13,0.02495201535508637,0.07692307692307693
hotel sheets queen size bed,,0,,,,1,1,1,36.97,36.97,,,1,1,0.016666666666666666,1.0
hotel sheets 100% cotton,,0,,,,9,1,1,36.97,36.97,,,1,1,0.004484304932735426,1.0
mellanni queen sheets set,,0,,,,7,1,1,36.97,36.97,36.97,0.0,6,6,0.03314917127071823,0.16666666666666666
queen aheet sets,,0,,,,6,1,1,36.97,36.97,,,2,2,0.015625,0.5
melania sheets queen,,0,,,,5,1,1,36.97,36.97,,,3,3,0.02857142857142857,0.3333333333333333
queen bed sheet white stripes,,0,,,,5,1,1,36.97,36.97,,,1,1,0.003875968992248062,1.0
soft queen sheets white,,0,,,,4,1,1,36.97,36.97,,,3,1,0.010526315789473684,1.0
cotten colling sheets,,0,,,,1,1,1,36.97,36.97,,,1,1,0.016129032258064516,1.0
white sheet sets wueen,,0,,,,3,1,1,36.97,36.97,,,1,1,0.016666666666666666,1.0
sheets queen size bed set overnight delivery,,0,,,,4,1,1,36.97,36.97,,,2,1,0.017857142857142856,1.0
best white queen sheet set,,0,,,,2,1,1,36.97,36.97,,,2,2,0.041666666666666664,0.5
wrinkle free queen white sheets,,0,,,,2,1,1,36.97,36.97,,,2,2,0.03333333333333333,0.5
white queen suze sheets,,0,,,,2,1,1,36.97,36.97,,,1,1,0.011627906976744186,1.0
queen sheets set mellanni iconic collection,,0,,,,1,1,1,36.97,36.97,,,1,1,0.041666666666666664,1.0
mellani queen fitted shet,,0,,,,1,1,1,36.97,36.97,,,1,1,0.016666666666666666,1.0
millani queen sheets,,0,,,,1,1,1,36.97,36.97,,,1,1,0.05,1.0
melanie sheets queen,,0,,,,21,1,1,36.97,36.97,36.97,0.0,16,16,0.038929440389294405,0.0625
melani queen sheets,,0,,,,1,1,1,36.97,36.97,,,1,1,0.05,1.0
queen mallani sheets,,0,,,,1,1,1,36.97,36.97,,,1,1,0.047619047619047616,1.0
￼white queen bed sheets,,0,,,,1,1,1,36.97,36.97,,,1,1,0.041666666666666664,1.0
white queen sheets eczema,,0,,,,1,1,1,36.97,36.97,,,1,1,0.041666666666666664,1.0
best seller queen bedsheets,,0,,,,1,1,1,36.97,36.97,,,1,1,0.043478260869565216,1.0
srinkle free queen qhite sheets,,0,,,,1,1,1,36.97,36.97,,,1,1,0.016129032258064516,1.0
queunn sheets,,0,,,,1,1,1,36.97,36.97,,,1,1,0.043478260869565216,1.0
white fitted sheet queen set,,0,,,,3,1,1,36.97,36.97,,,2,1,0.005681818181818182,1.0
good wuality sheets queen,,0,,,,1,1,1,36.97,36.97,,,1,1,0.041666666666666664,1.0
vevor bed sheet,,0,,,,1,1,1,36.97,36.97,,,1,1,0.07142857142857142,1.0
200 count sheets queen,,0,,,,2,1,1,36.97,36.97,,,2,1,0.020833333333333332,1.0
best queen size sheets,,0,,,,37,1,1,36.97,36.97,,,13,1,0.0009881422924901185,1.0
queen bed sheets hotel quality,,0,,,,17,1,1,36.97,36.97,,,10,1,0.0024937655860349127,1.0
"queen mattress sheets 12""",,0,,,,2,1,1,36.23,36.23,,,2,1,0.020833333333333332,1.0
juego sábanas queen,,0,,,,103,2,0,35.98,,,,36,1,0.00045330915684496827,0.0
white sheet full set,,0,,,,5,1,1,35.97,35.97,35.97,0.0,3,1,0.010416666666666666,1.0
full size white sherts,,0,,,,2,1,1,35.97,35.97,,,2,1,0.023255813953488372,1.0
twin xl bedsheets,,0,,,,777,3,0,35.97,,,,325,2,7.312346897736829e-05,0.0
full sized sheet set,,0,,,,64,1,1,35.97,35.97,,,22,1,0.0005246589716684155,1.0
100% cotton sheets full bed,,0,,,,21,1,1,35.97,35.97,,,11,1,0.0016666666666666668,1.0
double size aheets,,0,,,,2,1,1,35.97,35.97,,,1,1,0.022727272727272728,1.0
full size sheets cooling fitted,,0,,,,5,1,1,35.97,35.97,,,2,1,0.006666666666666667,1.0
full soft sheets,,0,,,,11,1,1,35.97,35.97,,,7,1,0.004081632653061225,1.0
hotel collection full size sheet set,,0,,,,8,1,1,35.97,35.97,,,5,1,0.006666666666666667,1.0
hotel bed sheets full size,,0,,,,18,1,1,35.97,35.97,,,6,2,0.0022197558268590455,0.5
mellanni full white sheet set,,0,,,,4,1,1,35.97,35.97,,,2,2,0.023255813953488372,0.5
mellanni full sheets set,,0,,,,3,1,1,35.97,35.97,35.97,0.0,2,2,0.0196078431372549,0.5
mellanni full size sheet,,0,,,,2,1,1,35.97,35.97,,,1,1,0.025,1.0
full bed sheets white bamboo,,0,,,,2,1,1,35.97,35.97,,,1,1,0.020833333333333332,1.0
full mattess sheets,,0,,,,2,1,1,35.97,35.97,,,2,1,0.020833333333333332,1.0
full sheets for bunk beds,,0,,,,1,1,1,35.97,35.97,,,1,1,0.03333333333333333,1.0
mellanni sheets full,,0,,,,21,1,1,35.97,35.97,,,10,10,0.022172949002217297,0.1
white full sheets soft cooling,,0,,,,1,1,1,35.97,35.97,,,1,1,0.05,1.0
hotel luxury sheets white full,,0,,,,1,1,1,35.97,35.97,,,1,1,0.041666666666666664,1.0
sheets 1000 to 1500 count full sheets,,0,,,,1,1,1,35.97,35.97,,,1,1,0.041666666666666664,1.0
full bed white sheet set,,0,,,,1,1,1,35.97,35.97,,,1,1,0.05,1.0
milani sheets full,,0,,,,16,1,1,35.97,35.97,,,8,6,0.01327433628318584,0.16666666666666666
white sheets full set,,0,,,,32,1,1,35.97,35.97,,,12,1,0.0014947683109118087,1.0
gold king pillow cases,,0,,,,14,2,2,35.94,35.94,,,3,2,0.005988023952095809,1.0
white striped sheets,,0,,,,80,2,0,35.48,,,,45,1,0.000445632798573975,0.0
white sheets set full,,0,,,,9,1,1,35.25,35.25,19.78,0.7821031344792719,4,1,0.0032258064516129032,1.0
fullbed sheets white,,0,,,,1,1,1,35.25,35.25,,,1,1,0.041666666666666664,1.0
hotel style sheets,,0,,,,602,1,0,34.99,,99.96,-0.6499599839935974,216,1,5.867855885459453e-05,0.0
faux rabbit fur duvet cover king,,0,,,,18,1,1,34.98,34.98,,,14,1,0.0024875621890547263,1.0
twin sheet set solft,,0,,,,1,1,1,34.97,34.97,,,1,1,0.016129032258064516,1.0
white rv queen mattress sheet,,0,,,,1,1,1,34.97,34.97,,,1,1,0.043478260869565216,1.0
twin xl sheets pinstripe,,0,,,,19,1,1,34.97,34.97,,,15,2,0.0031397174254317113,0.5
sheets for twin bed white milalin,,0,,,,2,1,1,34.97,34.97,,,2,1,0.020833333333333332,1.0
mellanni extra long twin sheets,,0,,,,1,1,1,34.97,34.97,,,2,2,0.09090909090909091,0.5
good bed sheets for sleep,,0,,,,5,1,1,34.97,34.97,,,2,1,0.009900990099009901,1.0
lands end twin xl sheet set,,0,,,,1,1,1,34.97,34.97,,,1,1,0.05,1.0
twin jersey sheet set yellow,,0,,,,1,1,1,34.97,34.97,,,1,1,0.017241379310344827,1.0
mellani camper sherts,,0,,,,1,1,1,34.97,34.97,,,1,1,0.045454545454545456,1.0
mellanni twin xl sheets white,,0,,,,1,1,1,34.97,34.97,,,1,1,0.045454545454545456,1.0
mellanni queen duvet cover,,0,,,,10,1,1,34.97,34.97,34.97,0.0,10,8,0.03361344537815126,0.125
mellanni bedsheets twin xl￼,,0,,,,1,1,1,34.97,34.97,,,1,1,0.045454545454545456,1.0
mellanni duvet cover queen,,0,,,,25,1,1,34.97,34.97,,,20,18,0.02187120291616039,0.05555555555555555
mellanni iconic 3-piece ultra soft sheet set,,0,,,,2,1,1,34.97,34.97,,,2,2,0.047619047619047616,0.5
twin xl sheets pin striped grey cotton,,0,,,,7,1,1,34.97,34.97,,,7,1,0.0024630541871921183,1.0
melanie twin sheets,,0,,,,5,1,1,34.97,34.97,,,4,4,0.0392156862745098,0.25
quality twin sheets hunter,,0,,,,3,1,1,34.97,34.97,,,1,1,0.014285714285714285,1.0
melannia twin,,0,,,,1,1,1,34.97,34.97,,,1,1,0.05,1.0
mellanni twin bed sheet set,,0,,,,2,1,1,34.97,34.97,,,2,1,0.011363636363636364,1.0
millani sheets twin xl,,0,,,,1,1,1,34.97,34.97,,,1,1,0.016129032258064516,1.0
mellani sheets twin xl,,0,,,,1,1,1,34.97,34.97,37.97,-0.07900974453515934,1,1,0.030303030303030304,1.0
luxury pillow cases,,0,,,,266,1,0,34.95,,59.96,-0.41711140760507,79,2,0.00017459624618070712,0.0
plum sheets queen,,0,,,,164,1,0,34.95,,76.38,-0.54241948153967,80,2,0.0005380683346785041,0.0
amazon basics sheets,,0,,,,936,2,0,33.96,,151.9,-0.7764318630678078,502,1,3.5020136578532657e-05,0.0
wueen sheets white,,0,,,,6,2,1,33.96,36.97,,,3,1,0.008403361344537815,1.0
queen bed shirt white,,0,,,,11,2,1,33.96,20.97,,,7,1,0.002325581395348837,1.0
thin striped sheets,,0,,,,70,1,0,33.24,,,,42,2,0.001176470588235294,0.0
mellanni full duvet,,0,,,,1,1,1,32.97,32.97,,,1,1,0.017241379310344827,1.0
white sheet set for twin xl,,0,,,,2,2,1,32.54,34.97,,,2,1,0.011764705882352941,1.0
queen linen,,0,,,,33,2,1,31.98,36.23,,,16,1,0.0012484394506866417,1.0
lencol queen,,0,,,,181,2,0,31.98,,,,64,1,0.00023940627244433804,0.0
sheet queen set,,0,,,,22,2,0,31.98,,,,12,4,0.0065040650406504065,0.0
queen fitted and top sheet,,0,,,,5,2,1,31.98,36.97,,,2,1,0.010101010101010102,1.0
terra cotta bedsheets short queen,,0,,,,16,1,0,30.1,,,,13,3,0.0078125,0.0
cooling flat sheet,,0,,,,283,1,0,30.0,,63.96,-0.5309568480300187,132,8,0.0010891763104152485,0.0
bed skirt for adjustable bed base,,0,,,,298,2,0,29.98,,,,178,4,0.0004596644449551827,0.0
king size pillow shams blue,,0,,,,16,2,1,29.94,14.97,29.94,0.0,10,1,0.0019230769230769232,1.0
light blue striped sheets,,0,,,,427,2,0,29.94,,135.96,-0.7797881729920565,221,5,0.00041625041625041625,0.0
king size blue pillow shams,,0,,,,13,2,1,29.94,14.97,,,9,1,0.0025974025974025974,1.0
coral bed sheets,,0,,,,60,2,0,29.94,,,,29,2,0.0012224938875305623,0.0
full size mattress bed sheets,,0,,,,91,2,1,29.9,35.97,,,35,1,0.0003663003663003663,1.0
full aheets,,0,,,,31,2,1,29.9,35.97,,,10,1,0.001402524544179523,1.0
twin xl white sheet set,,0,,,,63,2,0,29.28,,130.56,-0.7757352941176471,27,3,0.0012836970474967907,0.0
full double sheet set,,0,,,,4,2,1,28.48,35.97,,,3,1,0.013157894736842105,1.0
gold pillow case,,0,,,,122,3,1,28.44,17.97,,,55,1,0.00036036036036036037,1.0
tan sheets full,,0,,,,98,2,0,28.0,,,,45,1,0.00041981528127623844,0.0
lilac king sheets,,0,,,,47,1,0,27.99,,,,25,3,0.002926829268292683,0.0
ivory sheets full,,0,,,,91,2,0,27.88,,,,37,2,0.0009267840593141798,0.0
mellani pillo casr,,0,,,,1,1,1,27.0,27.0,,,1,1,0.05,1.0
mellanni standard/queen pillow cases,,0,,,,3,1,1,27.0,27.0,,,2,2,0.027777777777777776,0.5
mellanni standard pillow cases set of 4,,0,,,,4,1,1,27.0,27.0,,,3,3,0.015151515151515152,0.3333333333333333
mellanni standard white pillow cases,,0,,,,4,1,1,27.0,27.0,,,1,1,0.004032258064516129,1.0
full xl pink sheets,,0,,,,112,1,0,26.89,,,,69,1,0.00029239766081871346,0.0
queen mellani pillow case,,0,,,,1,1,1,26.46,26.46,,,1,1,0.041666666666666664,1.0
15 inch drop bed skirt queen,,0,,,,18,1,0,25.99,,,,10,1,0.002824858757062147,0.0
slate blue pillow shams,,0,,,,43,1,0,25.99,,,,22,3,0.0022641509433962265,0.0
mellani king gitted sheet oeko tex,,0,,,,1,1,1,25.97,25.97,,,1,1,0.041666666666666664,1.0
￼melania king fitted sheet white,,0,,,,1,1,1,25.97,25.97,,,1,1,0.045454545454545456,1.0
mellanni extra deep pocket king fitted sheet,,0,,,,2,1,1,25.97,25.97,,,2,2,0.023529411764705882,0.5
king extra deep pocket fitted sheets 18-24 inch,,0,,,,26,1,1,25.97,25.97,,,10,2,0.002677376171352075,0.5
￼elements king deep fitted sheet,,0,,,,6,1,1,25.97,25.97,,,3,1,0.006944444444444444,1.0
white tailored bed skirt queen,,0,,,,41,2,0,25.94,,,,25,2,0.0018779342723004694,0.0
king bed sheets gray,,0,,,,13,1,0,25.49,,,,11,2,0.006514657980456026,0.0
dark purple queen sheet set,,0,,,,47,1,0,25.47,,50.94,-0.5,24,1,0.0009000900090009,0.0
plum king sheets,,0,,,,66,1,0,25.0,,,,34,4,0.0022766078542970974,0.0
king size bed sheets paisley,,0,,,,8,1,0,24.99,,,,9,3,0.011152416356877323,0.0
paisley sheets,,0,,,,891,1,0,24.99,,24.99,0.0,501,9,0.00034570177460244297,0.0
sheets for a double bed,,0,,,,25,1,0,24.64,,,,8,1,0.0011376564277588168,0.0
gray striped sheets,,0,,,,139,1,0,24.49,,119.91,-0.7957634892836294,116,6,0.0015727391874180866,0.0
tan sheet set king,,0,,,,21,1,0,23.99,,,,9,1,0.002320185614849188,0.0
soft king pillow cases,,0,,,,36,1,0,23.99,,,,18,1,0.0012674271229404308,0.0
cotton king bedskirt,,0,,,,25,1,0,23.98,,,,35,5,0.009541984732824428,0.0
white twin size bed sheets,,0,,,,24,2,0,23.36,,,,8,2,0.0026595744680851063,0.0
grey shams,,0,,,,32,1,0,22.98,,,,14,1,0.0010204081632653062,0.0
king denim blue dust ruffle,,0,,,,9,1,1,22.97,22.97,,,9,1,0.005555555555555556,1.0
dusty blue bed skirt,,0,,,,87,1,1,22.97,22.97,,,66,5,0.0022512381809995496,0.2
bedding skirts,,0,,,,18,1,1,22.97,22.97,,,14,1,0.0014388489208633094,1.0
navy blue california king bed skirt,,0,,,,5,1,1,22.97,22.97,31.48,-0.2703303684879289,2,2,0.015503875968992248,0.5
beige cal king bed skirt,,0,,,,14,1,1,22.97,22.97,,,10,1,0.0038910505836575876,1.0
wrinkle resistant bed skirt king white,,0,,,,12,1,1,22.97,22.97,,,4,1,0.004424778761061947,1.0
wrinkle free white bed skit king,,0,,,,6,1,1,22.97,22.97,,,6,1,0.007246376811594203,1.0
faldade cama para king,,0,,,,11,1,1,22.97,22.97,,,13,1,0.00411522633744856,1.0
bed skirt for tempurpedic base king,,0,,,,1,1,1,22.97,22.97,,,1,1,0.017241379310344827,1.0
royal blue bed skirt king,,0,,,,4,1,1,22.97,22.97,22.97,0.0,4,1,0.011904761904761904,1.0
cal king bedskirt navy,,0,,,,2,1,1,22.97,22.97,,,1,1,0.008064516129032258,1.0
beige bed shurt for cal king,,0,,,,2,1,1,22.97,22.97,,,2,1,0.020833333333333332,1.0
wrap around bed skirt blue grey,,0,,,,1,1,1,22.97,22.97,,,1,1,0.041666666666666664,1.0
california king navy dust ruffle,,0,,,,1,1,1,22.97,22.97,,,1,1,0.030303030303030304,1.0
king size tide pool blue dust ruffle,,0,,,,1,1,1,22.97,22.97,,,1,1,0.030303030303030304,1.0
meillani king fitted sheet,,0,,,,1,1,1,21.97,21.97,,,1,1,0.05,1.0
mellanni iconic fitted sheet,,0,,,,1,1,1,21.97,21.97,,,1,1,0.05,1.0
mellanni king size fitted sheets,,0,,,,1,1,1,21.97,21.97,,,1,1,0.017241379310344827,1.0
royal blue deep pocket fitted sheets,,0,,,,1,1,1,21.97,21.97,,,1,1,0.05,1.0
twin xl deep pocket extra mellani fitted sheet,,0,,,,1,1,1,21.97,21.97,,,1,1,0.030303030303030304,1.0
gold sheets full,,0,,,,52,1,0,21.56,,,,29,1,0.0008340283569641367,0.0
15.5 inch bed skirt,,0,,,,3,1,1,20.97,20.97,,,2,1,0.011111111111111112,1.0
queen white microfiber bed skirt,,0,,,,4,1,1,20.97,20.97,,,6,1,0.010416666666666666,1.0
white elastic bed skirts,,0,,,,1,1,1,20.97,20.97,,,1,1,0.041666666666666664,1.0
cotton bedskirt,,0,,,,94,1,1,20.97,20.97,,,41,2,0.0009592326139088729,0.5
15 inch white bed skirt,,0,,,,12,1,1,20.97,20.97,20.97,0.0,4,2,0.004597701149425287,0.5
queen size white bed skirt 15 inch drop,,0,,,,10,1,1,20.97,20.97,,,5,1,0.0034482758620689655,1.0
top quality and rate of a white color queen size bed skirt,,0,,,,4,1,1,20.97,20.97,,,3,1,0.011363636363636364,1.0
mellanni bed skirt,,0,,,,8,1,1,20.97,20.97,,,4,4,0.025157232704402517,0.25
15in drop bedskirt,,0,,,,5,1,1,20.97,20.97,,,4,2,0.012987012987012988,0.5
white pleated queen bedskirt,,0,,,,4,1,1,20.97,20.97,,,2,1,0.010638297872340425,1.0
tailored queen linen bedskirt 15 inch drop,,0,,,,4,1,1,20.97,20.97,,,4,1,0.010869565217391304,1.0
queen size hotel white bed skirt,,0,,,,3,1,1,20.97,20.97,,,1,1,0.013888888888888888,1.0
deep red queen bedskirt,,0,,,,3,1,1,20.97,20.97,,,4,1,0.005376344086021506,1.0
thick queen bed skit,,0,,,,3,1,1,20.97,20.97,,,1,1,0.015151515151515152,1.0
mellanni fitted sheet only,,0,,,,9,1,1,20.97,20.97,25.97,-0.19252984212552945,6,6,0.022727272727272728,0.16666666666666666
"pleated queen size 15"" drop bed skirt",,0,,,,2,1,1,20.97,20.97,,,1,1,0.008620689655172414,1.0
"queen pleated box springs dust 15""",,0,,,,2,1,1,20.97,20.97,,,2,1,0.02631578947368421,1.0
cotton queen bed skirt 14 inch drop heavy,,0,,,,2,1,1,20.97,20.97,,,1,1,0.024390243902439025,1.0
bedskirt white quren 15,,0,,,,1,1,1,20.97,20.97,,,1,1,0.043478260869565216,1.0
bed skirting queen size sage 15,,0,,,,1,1,1,20.97,20.97,,,1,1,0.05,1.0
queen heavy weight bedskirt white,,0,,,,1,1,1,20.97,20.97,,,1,1,0.045454545454545456,1.0
gray queen size bed skirt wrap around non pleated,,0,,,,1,1,1,20.97,20.97,,,1,1,0.041666666666666664,1.0
"mellanni bed skirt queen size - tailored drop bed skirting 15-inch pleated dust ruffle - hotel luxury bedding - wrinkle, fade, stain resistant - 1 bedskirt (queen,",,0,,,,1,1,1,20.97,20.97,,,1,1,0.058823529411764705,1.0
queen size bed skirt 15 inch drop white,,0,,,,1,1,1,20.97,20.97,,,1,1,0.047619047619047616,1.0
queen pleated bedskirt 15 inch drop,,0,,,,1,1,1,20.97,20.97,,,1,1,0.05263157894736842,1.0
coral twin sheets,,0,,,,43,1,0,20.5,,,,24,1,0.0009970089730807576,0.0
pillow sham covers standard size,,0,,,,51,1,0,20.39,,,,37,2,0.0016849199663016006,0.0
white sheets set,,0,,,,55,1,0,20.15,,,,28,1,0.0007782101167315176,0.0
grey striped sheets,,0,,,,213,1,0,19.99,,56.08,-0.6435449358059915,109,4,0.000749063670411985,0.0
standard size pillow shams,,0,,,,324,2,0,19.98,,,,166,1,0.00012165450121654502,0.0
navy bed skirt full,,0,,,,44,2,1,19.98,19.97,,,26,1,0.0010940919037199124,1.0
king flat sheet cooling,,0,,,,14,1,1,19.97,19.97,,,9,2,0.0078125,0.5
cotton double bed skirt,,0,,,,3,1,1,19.97,19.97,,,4,1,0.018867924528301886,1.0
moisture wicking flat sheet,,0,,,,4,1,1,19.97,19.97,,,1,1,0.03225806451612903,1.0
pink queen size sheets fitted sheets and pullow casesmelani,,0,,,,2,1,1,19.97,19.97,,,2,2,0.041666666666666664,0.5
mellani fitted sheet,,0,,,,9,1,1,19.97,19.97,,,5,5,0.013774104683195593,0.2
beige bed skirts,,0,,,,9,1,1,19.97,19.97,,,4,1,0.003003003003003003,1.0
twin xl bedskirt black,,0,,,,16,1,1,19.97,19.97,,,15,2,0.005277044854881266,0.5
bed skirt full bed girl toom,,0,,,,3,1,1,19.97,19.97,,,3,1,0.015151515151515152,1.0
navy blue twin xl bedskirt,,0,,,,8,1,1,19.97,19.97,,,3,2,0.010416666666666666,0.5
mellanni fitted sheets,,0,,,,5,1,1,19.97,19.97,,,5,5,0.025510204081632654,0.2
"blue hydranga, king size flat sheet",,0,,,,4,1,1,19.97,19.97,,,4,1,0.010416666666666666,1.0
dust riffle full grey,,0,,,,4,1,1,19.97,19.97,,,4,1,0.010869565217391304,1.0
scalloped bed skirt full,,0,,,,51,1,1,19.97,19.97,,,26,2,0.0016515276630883566,0.5
"14"" drop full size bed skirt",,0,,,,12,1,1,19.97,19.97,,,8,1,0.0013568521031207597,1.0
blue hydrangea fitted queen sheet,,0,,,,1,1,1,19.97,19.97,,,1,1,0.03333333333333333,1.0
california king black flat sheet 100% cotton matte soft,,0,,,,1,1,1,19.97,19.97,,,1,1,0.041666666666666664,1.0
dorm bed skirt long pleat blur,,0,,,,1,1,1,19.97,19.97,,,1,1,0.05,1.0
100% cotton sateen. 300 thread count. 14.5” drop length. bed skirt,,0,,,,1,1,1,19.97,19.97,,,1,1,0.030303030303030304,1.0
king size cotton sheet black,,0,,,,1,1,1,19.97,19.97,,,1,1,0.043478260869565216,1.0
mellanni sheets twin,,0,,,,15,1,0,19.54,,104.91,-0.8137451148603566,9,8,0.011695906432748537,0.0
king blue sheet set,,0,,,,16,1,0,18.99,,,,4,2,0.005865102639296188,0.0
beige king size pillow shams,,0,,,,21,2,1,18.98,14.97,,,15,1,0.001953125,1.0
fitted sheet twin light coral,,0,,,,1,1,1,18.97,18.97,,,1,1,0.043478260869565216,1.0
ivory stain resistant twin fitted sheets,,0,,,,1,1,1,18.97,18.97,,,1,1,0.017241379310344827,1.0
melania sheets full fitted,,0,,,,1,1,1,18.97,18.97,,,1,1,0.045454545454545456,1.0
mellanni twin xl fitted,,0,,,,2,1,1,18.97,18.97,,,1,1,0.015151515151515152,1.0
mellani queen top sheet,,0,,,,3,1,1,18.97,18.97,,,3,3,0.03571428571428571,0.3333333333333333
mellanni queen sheet flat beige,,0,,,,1,1,1,18.97,18.97,,,1,1,0.043478260869565216,1.0
mellanni queen flat sheet,,0,,,,6,1,1,18.97,18.97,,,3,2,0.02,0.5
mellanni 1 flat sheet double,,0,,,,3,1,1,18.97,18.97,,,4,4,0.057971014492753624,0.25
mellanni full size fitted sheet,,0,,,,2,1,1,18.97,18.97,,,2,2,0.05,0.5
juego de sábanas blancas queen,,0,,,,28,1,0,17.99,,,,15,2,0.003527336860670194,0.0
mellanni twin xl fitted sheet,,0,,,,9,1,0,17.99,,,,7,6,0.017241379310344827,0.0
mellanni king pillow cases 2 pack,,0,,,,10,1,1,17.97,17.97,17.97,0.0,9,8,0.03137254901960784,0.125
luxclub pillowcase medallion gold,,0,,,,8,1,1,17.97,17.97,,,4,1,0.005405405405405406,1.0
mellani pillow cases,,0,,,,11,1,1,17.97,17.97,81.0,-0.7781481481481481,5,5,0.018726591760299626,0.2
funda de almohada roja,,0,,,,5,1,1,17.97,17.97,,,4,2,0.018867924528301886,0.5
envelope beige pillow cases,,0,,,,6,1,1,17.97,17.97,,,5,2,0.013986013986013986,0.5
mellanni iconic collection in navy blue pillow case,,0,,,,3,1,1,17.97,17.97,,,3,3,0.017241379310344827,0.3333333333333333
mellanni king pillowcase light gray,,0,,,,4,1,1,17.97,17.97,,,1,1,0.0125,1.0
mellanni standard pillow cases,,0,,,,3,1,1,17.97,17.97,,,3,3,0.045454545454545456,0.3333333333333333
melanie i king pillow case,,0,,,,2,1,1,17.97,17.97,,,1,1,0.025,1.0
brick pillow case,,0,,,,3,1,1,17.97,17.97,,,1,1,0.015151515151515152,1.0
king pillow cases cool,,0,,,,3,1,1,17.97,17.97,,,2,1,0.01020408163265306,1.0
soft king size pillowcases,,0,,,,3,1,1,17.97,17.97,,,2,1,0.012987012987012988,1.0
mellanni king pillow cases beige,,0,,,,2,1,1,17.97,17.97,,,2,2,0.017241379310344827,0.5
mellanni beige pullow cases,,0,,,,2,1,1,17.97,17.97,,,2,2,0.047619047619047616,0.5
mellanni burgundy pillowcase,,0,,,,2,1,1,17.97,17.97,,,2,1,0.021739130434782608,1.0
cooling pillow cases green,,0,,,,13,1,1,17.97,17.97,,,3,1,0.0035087719298245615,1.0
medallion gold king pillow case,,0,,,,2,1,1,17.97,17.97,,,1,1,0.025,1.0
melanni pillowcases,,0,,,,1,1,1,17.97,17.97,,,1,1,0.016666666666666666,1.0
mellanni iconic microfiber full,,0,,,,1,1,1,17.97,17.97,,,1,1,0.05263157894736842,1.0
mellani queen standard pillow case white,,0,,,,1,1,1,17.97,17.97,,,1,1,0.01694915254237288,1.0
mellanni queen pillow cases 2,,0,,,,3,1,1,17.97,17.97,,,1,1,0.015873015873015872,1.0
mellanni iconic queen pillow cases,,0,,,,1,1,1,17.97,17.97,,,1,1,0.05555555555555555,1.0
mellanni standard pillowcases,,0,,,,1,1,1,17.97,17.97,,,1,1,0.05555555555555555,1.0
"mellanni | hotel luxury, extra soft, cooling pillow cases - wrinkle, fade, stain resistant (queen, white)",,0,,,,1,1,1,17.97,17.97,,,1,1,0.03333333333333333,1.0
mellanni king pillow case gold,,0,,,,1,1,1,17.97,17.97,,,1,1,0.041666666666666664,1.0
mellanni iconic pillowcases,,0,,,,4,1,1,17.97,17.97,,,4,4,0.05555555555555555,0.25
mellanni king pillowcases,,0,,,,1,1,1,17.97,17.97,,,1,1,0.05555555555555555,1.0
mellanni king pillowcases heather gray,,0,,,,1,1,1,17.97,17.97,,,1,1,0.041666666666666664,1.0
queen standard pillowcase gray wrinkle free,,0,,,,6,1,1,17.97,17.97,,,4,2,0.013986013986013986,0.5
