keyword,tracked_asins,tracked_asin_count,current_position,prior_position,rank_movement,search_query_volume,total_purchases,brand_purchases,est_total_keyword_sales,est_brand_keyword_sales,prior_est_total_keyword_sales,total_sales_wow,total_clicks,brand_clicks,brand_ctr,brand_purchase_per_click
gray sheets queen,"B00NLLUP4G, B00SBZJ8NG, B0BTZ4CFWV",3,22,22,0,353,24,0,599.76,,,,141,1,0.00010131712259371833,0.0
purple sheets,,0,,,,2984,25,0,599.75,,522.9399999999999,0.14688109534554647,1050,9,0.00011142199222522099,0.0
bed skirts queen size,,0,,,,2074,46,0,597.54,,703.68,-0.15083560709413368,1078,5,7.984924462614584e-05,0.0
sheet sets,,0,,,,3973,28,0,594.7199999999999,,488.52,0.21739130434782594,1407,14,0.00010971356921750715,0.0
sabanas queen,,0,,,,1433,35,0,594.65,,575.64,0.03302411229240496,603,3,8.286834981492736e-05,0.0
deep pocket sheets queen,,0,,,,888,22,0,593.78,,,,434,4,0.0001567152483936687,0.0
king size bed sheet,,0,,,,826,33,0,593.67,,478.5,0.2406896551724137,340,0,0.0,
sheet sets queen size,,0,,,,1174,16,2,591.52,73.94,266.25,1.2216713615023473,419,8,0.00022130013831258644,0.25
sabanas,,0,,,,4920,31,0,588.6899999999999,,377.78999999999996,0.5582466449614866,1691,22,0.00017236786436216055,0.0
king sheets white,,0,,,,175,23,2,586.27,81.94,377.8,0.551799894123875,87,5,0.0009208103130755065,0.4
california king bed sheets,B00O35DPN2,1,28,26,-2,1187,23,0,586.27,,623.76,-0.06010324483775813,471,0,0.0,
king sheets set,,0,,,,667,23,0,586.27,,662.74,-0.11538461538461542,283,2,9.653441451877595e-05,0.0
full size sheets cooling,,0,,,,741,26,0,584.74,,322.83,0.8112938698386148,388,2,9.945795414988313e-05,0.0
100% cotton sheets full,,0,,,,1494,20,0,584.6,,395.89000000000004,0.47667281315516924,839,4,9.201748332183115e-05,0.0
hotel sheets direct,,0,,,,823,10,0,583.9,,364.95,0.5999451979723249,443,0,0.0,
white queen sheet set,,0,,,,277,34,1,580.04,36.97,377.96,0.5346597523547465,128,2,0.00021362956633198035,0.5
light pink sheets,,0,,,,2411,36,0,579.24,,329.28,0.7591107871720119,1100,5,7.762167197081425e-05,0.0
100 cotton sheets,,0,,,,2148,16,0,575.84,,,,976,3,5.1932764381048004e-05,0.0
white bed sheets,B00NLLUMOE,1,8,11,3,2375,40,1,560.0,36.97,672.0,-0.16666666666666666,827,14,0.00021529518507696802,0.07142857142857142
queen flat sheet,,0,,,,1224,49,0,558.11,,,,579,1,3.230287172529638e-05,0.0
white queen bed sheets,,0,,,,279,26,4,552.24,147.88,323.82,0.7053918843802113,120,8,0.0009449562957713206,0.5
wueen sheets,,0,,,,654,26,0,552.24,,603.5,-0.08493786246893122,267,4,0.000262415534999672,0.0
twin xl sheet,,0,,,,1677,46,0,551.54,,623.48,-0.11538461538461547,734,1,1.9898121617319326e-05,0.0
black bed sheets,,0,,,,2995,39,0,546.0,,700.8299999999999,-0.22092376182526424,1144,4,5.479977532092118e-05,0.0
cotton percale sheets full,,0,,,,819,13,0,545.87,,455.88,0.19739843818548744,435,4,0.00016122531237404273,0.0
hotel sheets queen,,0,,,,765,21,0,545.79,,403.55999999999995,0.35243829913767477,345,3,0.00014701558365186709,0.0
queen mattress sheets,,0,,,,1012,34,1,543.66,36.97,787.5200000000001,-0.30965562779357997,387,4,0.00014206058884114076,0.25
white linen set,,0,,,,3356,15,0,539.85,,,,1071,0,0.0,
bed sheets full,,0,,,,1843,33,0,532.62,,499.74999999999994,0.06577288644322174,624,3,5.331627212625293e-05,0.0
